Assigned To	Code	Date	User	Tweet
Sigfried Gold	Anti-Roseanne	Tue May 29 18:58:05 +0000 2018	wstevenm	@ABCNetwork @Disney Thank you for responding immediately to Roseanne Barr's racist remarks.  There is NO place for... https://t.co/wgrt82mAKU
Sarah Jackson	Neutral	Tue May 29 18:58:05 +0000 2018	JonoZalay	ABC cancela 'Roseanne' ap  s tweet racista da protagonista. https://t.co/Omj7FGQNBG https://t.co/pz8Hmmtvuq
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:58:05 +0000 2018	GhostAc57247313	ABC canceled Roseanne because she is a racist! Finally!
Aditya Bhat	Neutral	Tue May 29 18:58:06 +0000 2018	DrBladeRunnerMD	Me: Computer. Mute: Roseanne Computer: Yeah, sorry, don't know why I didn't do this 8 years ago.
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:58:06 +0000 2018	M99_LaRay	@ChuckNASCAR @JustSheree2000 @larryhouse @MARS0411 @thegr8juan_2 @therealroseanne @385parkplace @SGTreport... https://t.co/RiwN4dPSOl
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:58:06 +0000 2018	lashingout61	Jah neh kulit @therealroseanne
Aditya Bhat	Anti-Roseanne	Tue May 29 18:58:07 +0000 2018	StevenM229758	Roseanne - Our long national sitcom nightmare is over. Good Riddance to rascists and fascist lovers
Carmen Collins	Anti-Roseanne	Tue May 29 18:58:07 +0000 2018	samharris15	Like all @therealroseanne had to do was keep her damn thoughts to her...But she couldn't even manage to do that! It... https://t.co/NZV7vbS9eQ
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:58:07 +0000 2018	mainwmn	@2ndfor1st @stphnmalloy @therealroseanne @Mudsilll @Truthskr72 @Melissa31920880 @SharylAttkisson @realDonaldTrump https://t.co/7kAf7nn480
Sigfried Gold	Anti-Roseanne	Tue May 29 18:58:07 +0000 2018	Lennysays_	@therealroseanne But you're still here. Go, already.
Michael Joseph, III	Pro-Roseanne	Tue May 29 18:58:07 +0000 2018	homedogsyonkers	@realproudmom2 @DanaPerino @therealroseanne Maybe your show be cancelled.  You are a shrill for the left &amp; Bush fam... https://t.co/UqBQgI7asb
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:58:08 +0000 2018	SchlakeBier	@CillizzaCNN lucky.  I wanna get roasted by roseanne
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:58:08 +0000 2018	Leftfinished	@IePeta @therealroseanne @ABC @DemSocAss @BevHillsAntifa7 @JLRD1978 @AntifaJackson3 @Ebony_Dynamite @ProgDadTV... https://t.co/tAB6pwTc7B
Kristen Byers	Anti-Roseanne	Tue May 29 18:58:08 +0000 2018	MarkMallardi	Kudos to ABC for canceling TV show of the ignorant loudmouth Roseanne Barr!  Trump will just have to tune into Fox... https://t.co/SEmYPDyUgH
Carmen Collins	Anti-Roseanne	Tue May 29 18:58:08 +0000 2018	jsmalls131313	@THEsaragilbert This is sad indeed! Damn Roseanne!
Suzanne Garcia	Neutral	Tue May 29 18:58:08 +0000 2018	IamArocketship9	Roseanne has been cancelled before they even wrote the script for episode 1 of the reboot. Roseanne Barr has been cancelled for years.
